timestamp,session_id,category,action,property_id,property_ref,location,listing_type,property_type,price,filter_data,platform,page_url,referrer,user_agent
2026-01-26T17:45:50.573Z,rs_1769447642451_ypibf7c76,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T17:45:56.117Z,rs_1769447642451_ypibf7c76,search,filter_change,,,,,,,"{""filter"":""location"",""value"":""17""}",,https://witos323.sg-host.com/properties/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T17:46:02.749Z,rs_1769447642451_ypibf7c76,search,filter_change,,,,,,,"{""filter"":""location"",""value"":""17,19""}",,https://witos323.sg-host.com/properties/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T18:37:08.716Z,rs_1769447642451_ypibf7c76,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:14.213Z,rs_1769436128700_w34fb708r,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/,https://witos323.sg-host.com/carousel-05/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:21.272Z,rs_1769436128700_w34fb708r,search,search,,,,,,,[],,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:26.445Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMin"",""value"":20000000}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:30.567Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMin"",""value"":null}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:33.034Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMin"",""value"":20000000}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:38.712Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMin"",""value"":null}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:38.713Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMax"",""value"":null}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:38.726Z,rs_1769436128700_w34fb708r,search,search,,,,,,,[],,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:14:42.376Z,rs_1769436128700_w34fb708r,search,filter_change,,,,,,,"{""filter"":""priceMin"",""value"":20000000}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:15:18.850Z,rs_1769436128700_w34fb708r,click,view_toggle,,,,,,,"{""view"":""list""}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:15:20.071Z,rs_1769436128700_w34fb708r,click,view_toggle,,,,,,,"{""view"":""grid""}",,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T19:15:25.082Z,rs_1769436128700_w34fb708r,search,search,,,,,,,[],,https://witos323.sg-host.com/villas-in-marbella/,https://witos323.sg-host.com/properties/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T20:13:11.844Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""location"",""value"":""19""}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:16.454Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""location"",""value"":""351""}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:27.564Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""bedsMin"",""value"":5}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:27.564Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""bedsMax"",""value"":null}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:30.716Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""bedsMin"",""value"":1}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:30.717Z,rs_1769458391845_qmdct9uom,search,filter_change,,,,,,,"{""filter"":""bedsMax"",""value"":null}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:36.702Z,rs_1769458391845_qmdct9uom,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/?location=351&beds=1,https://witos323.sg-host.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:37.458Z,rs_1769458417459_orsl9jz9u,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)"
2026-01-26T20:13:43.459Z,rs_1769458391845_qmdct9uom,click,card_click,12028,R5288485,,,,,"{""property_id"":12028,""property_ref"":""R5288485""}",,https://witos323.sg-host.com/properties/?location=351&beds=1,https://witos323.sg-host.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:44.200Z,rs_1769458391845_qmdct9uom,view,property_view,12028,R5288485,"Bel Air",,Townhouse,485000,"{""property_id"":12028,""property_ref"":""R5288485"",""property_type"":""Townhouse"",""location"":""Bel Air"",""price"":485000}",,https://witos323.sg-host.com/property/townhouse-for-sale-in-bel-air-estepona-R5288485,https://witos323.sg-host.com/properties/?location=351&beds=1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:53.123Z,rs_1769458391845_qmdct9uom,click,card_click,12112,R5024332,,,,,"{""property_id"":12112,""property_ref"":""R5024332""}",,https://witos323.sg-host.com/property/townhouse-for-sale-in-bel-air-estepona-R5288485,https://witos323.sg-host.com/properties/?location=351&beds=1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:13:53.713Z,rs_1769458391845_qmdct9uom,view,property_view,12112,R5024332,Marbesa,,"Middle Floor Apartment",389000,"{""property_id"":12112,""property_ref"":""R5024332"",""property_type"":""Middle Floor Apartment"",""location"":""Marbesa"",""price"":389000}",,https://witos323.sg-host.com/property/middle-floor-apartment-for-sale-in-marbesa-marbella-R5024332,https://witos323.sg-host.com/property/townhouse-for-sale-in-bel-air-estepona-R5288485,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
2026-01-26T20:34:48.964Z,rs_1769459688965_mb2ymsvt9,search,filter_change,,,,,,,"{""filter"":""propertyType"",""value"":[65,71,66,72,67,127,69,70,68,128]}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T20:34:53.005Z,rs_1769459688965_mb2ymsvt9,search,filter_change,,,,,,,"{""filter"":""listingType"",""value"":""resale""}",,https://witos323.sg-host.com/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-26T20:34:55.897Z,rs_1769459688965_mb2ymsvt9,search,search,,,,,,,[],,https://witos323.sg-host.com/properties/?type=65%2C71%2C66%2C72%2C67%2C127%2C69%2C70%2C68%2C128&listing=resale,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
